,#,Tháng,Số điểm cháy
0,1,1,686
1,2,2,881
2,3,3,2999
3,4,4,1425
4,5,5,818
5,6,6,688
6,7,7,135
7,8,8,166
8,9,9,80
9,10,10,191
10,11,11,134
11,12,12,481
