,#,Tên tỉnh,Số điểm cháy
0,1,Điện Biên,1706
1,2,Lai Châu,1078
2,3,Sơn La,974
3,4,Đắk Lắk,929
4,5,Quảng Nam,877
5,6,Kon Tum,757
6,7,Nghệ An,750
7,8,Gia Lai,692
8,9,Đắk Nông,571
9,10,Lâm Đồng,498
10,11,Quảng Ngãi,474
11,12,Quảng Ninh,306
12,13,Bình Định,248
13,14,Thanh Hoá,231
14,15,Phú Yên,163
15,16,Quảng Bình,160
16,17,Khánh Hòa,145
17,18,Lạng Sơn,130
18,19,Yên Bái,122
19,20,Hà Tĩnh,116
20,21,Ninh Thuận,114
21,22,Thừa Thiên Huế,109
22,23,Bình Thuận,106
23,24,Lào Cai,80
24,25,Hòa Bình,78
25,26,Tuyên Quang,71
26,27,Cao Bằng,66
27,28,Bắc Kạn,59
28,29,Bắc Giang,51
29,30,Hà Giang,50
30,31,Phú Thọ,42
31,32,Thái Nguyên,30
32,33,Long An,25
33,34,Đồng Nai,25
34,35,Bình Phước,23
35,36,Kiên Giang,15
36,37,Tây Ninh,12
37,38,An Giang,9
38,39,Bà Rịa-Vũng Tàu,7
39,40,Vĩnh Phúc,5
40,41,Cà Mau,3
41,42,Hồ Chí Minh,2
42,43,Hà Nội,2
43,44,Hậu Giang,2
44,45,Sóc Trăng,1
