,#,Tên tỉnh,Số điểm cháy
0,1,Gia Lai,53708
1,2,Đắk Lắk,44124
2,3,Kon Tum,33278
3,4,Điện Biên,29281
4,5,Sơn La,20648
5,6,Đắk Nông,16236
6,7,Bình Thuận,13564
7,8,Kiên Giang,11711
8,9,Lâm Đồng,10147
9,10,Long An,9784
10,11,Lai Châu,9149
11,12,Quảng Nam,9089
12,13,An Giang,9088
13,14,Đồng Tháp,8036
14,15,Ninh Thuận,7874
15,16,Nghệ An,6958
16,17,Quảng Trị,5393
17,18,Quảng Ngãi,5325
18,19,Quảng Bình,5241
19,20,Cần Thơ,4526
20,21,Lạng Sơn,4095
21,22,Thanh Hoá,4020
22,23,Quảng Ninh,3847
23,24,Bình Phước,3652
24,25,Đồng Nai,3574
25,26,Tây Ninh,3512
26,27,Phú Yên,3284
27,28,Hà Tĩnh,3171
28,29,Hậu Giang,3131
29,30,Khánh Hòa,3070
30,31,Tiền Giang,2739
31,32,Bình Dương,2351
32,33,Bình Định,2229
33,34,Sóc Trăng,2145
34,35,Cao Bằng,1919
35,36,Bà Rịa-Vũng Tàu,1830
36,37,Thừa Thiên Huế,1799
37,38,Hà Giang,1740
38,39,Lào Cai,1654
39,40,Tuyên Quang,1649
40,41,Yên Bái,1230
41,42,Hòa Bình,1225
42,43,Bắc Giang,1204
43,44,Thái Nguyên,1186
44,45,Bạc Liêu,1132
45,46,Bắc Kạn,1117
46,47,Hồ Chí Minh,1059
47,48,Phú Thọ,898
48,49,Hải Dương,853
49,50,Vĩnh Long,637
50,51,Trà Vinh,583
51,52,Cà Mau,582
52,53,Bến Tre,582
53,54,Đà Nẵng,464
54,55,Bắc Ninh,440
55,56,Hà Nam,422
56,57,Hà Nội,420
57,58,Hải Phòng,405
58,59,Ninh Bình,296
59,60,Nam Định,210
60,61,Vĩnh Phúc,189
61,62,Hưng Yên,169
62,63,Thái Bình,146
