,#,Tên vườn quốc gia,Số điểm cháy
0,1,Vườn quốc gia Yok Đôn,177
1,2,Vườn quốc gia Chư Mom Ray,14
2,3,Vườn quốc gia Cát Tiên,14
3,4,Vườn quốc gia Chư Yang Sin,8
4,5,Vườn quốc gia Bidoup-Núi Bà,7
5,6,Vườn quốc gia Phước Bình,7
6,7,Vườn quốc gia Tam Đảo,4
7,8,Vườn quốc gia Xuân Sơn,4
8,9,Vườn quốc gia Tràm Chim,3
9,10,Vườn quốc gia Bù Gia Mập,3
10,11,Vườn quốc gia Kon Ka Kinh,3
11,12,Vườn quốc gia Núi Chúa,2
12,13,Vườn quốc gia Bến En,1
13,14,Vườn quốc gia Du Già - Cao nguyên đá Đồng Văn,1
14,15,Vườn quốc gia Vũ Quang,1
15,16,Vườn quốc gia Lò Gò Xa Mát,1
