,#,Tên tỉnh,Số điểm cháy
0,1,Điện Biên,58974
1,2,Sơn La,42702
2,3,Gia Lai,41429
3,4,Kon Tum,38396
4,5,Đắk Lắk,25068
5,6,Lai Châu,22686
6,7,Kiên Giang,17981
7,8,Long An,14105
8,9,An Giang,13744
9,10,Quảng Nam,13148
10,11,Đắk Nông,12424
11,12,Đồng Tháp,12251
12,13,Bình Thuận,11112
13,14,Quảng Ngãi,8544
14,15,Nghệ An,7515
15,16,Lâm Đồng,7219
16,17,Quảng Trị,5625
17,18,Cần Thơ,5414
18,19,Đồng Nai,4727
19,20,Hậu Giang,4325
20,21,Phú Yên,4163
21,22,Thanh Hoá,4126
22,23,Quảng Bình,4056
23,24,Tây Ninh,3296
24,25,Sóc Trăng,3256
25,26,Quảng Ninh,2953
26,27,Bình Phước,2831
27,28,Lạng Sơn,2786
28,29,Ninh Thuận,2575
29,30,Bình Định,2553
30,31,Thừa Thiên Huế,2466
31,32,Tiền Giang,2439
32,33,Khánh Hòa,2349
33,34,Hà Tĩnh,2288
34,35,Bà Rịa-Vũng Tàu,2193
35,36,Yên Bái,2189
36,37,Lào Cai,2089
37,38,Bình Dương,2025
38,39,Tuyên Quang,1945
39,40,Hà Giang,1650
40,41,Bạc Liêu,1460
41,42,Cà Mau,1412
42,43,Hồ Chí Minh,1304
43,44,Hòa Bình,1243
44,45,Cao Bằng,1158
45,46,Bắc Kạn,1013
46,47,Thái Nguyên,980
47,48,Vĩnh Long,963
48,49,Bắc Giang,754
49,50,Trà Vinh,714
50,51,Hải Dương,491
51,52,Đà Nẵng,482
52,53,Bến Tre,461
53,54,Phú Thọ,437
54,55,Ninh Bình,301
55,56,Bắc Ninh,288
56,57,Hà Nam,270
57,58,Hà Nội,204
58,59,Hải Phòng,187
59,60,Vĩnh Phúc,95
60,61,Nam Định,78
61,62,Thái Bình,59
62,63,Hưng Yên,34
