,#,Tháng,Số điểm cháy
0,1,1,494
1,2,2,3891
2,3,3,5827
3,4,4,6375
4,5,5,4460
5,6,6,4949
6,7,7,1349
7,8,8,3001
8,9,9,2669
9,10,10,2391
10,11,11,2512
11,12,12,4689
