,#,Tên tỉnh,Số điểm cháy
0,1,Kon Tum,1460
1,2,Gia Lai,1082
2,3,Đắk Lắk,926
3,4,Nghệ An,612
4,5,Điện Biên,578
5,6,Đắk Nông,525
6,7,Quảng Nam,380
7,8,Sơn La,326
8,9,Bình Phước,279
9,10,Lâm Đồng,273
10,11,Lai Châu,227
11,12,Quảng Ngãi,210
12,13,Thanh Hoá,203
13,14,Quảng Ninh,190
14,15,Bình Định,187
15,16,Bình Thuận,111
16,17,Quảng Bình,101
17,18,Thừa Thiên Huế,85
18,19,Khánh Hòa,81
19,20,Bắc Kạn,71
20,21,Lạng Sơn,52
21,22,Phú Yên,51
22,23,Ninh Thuận,50
23,24,Tuyên Quang,49
24,25,Yên Bái,42
25,26,Bắc Giang,39
26,27,Hòa Bình,36
27,28,Cao Bằng,35
28,29,Hà Giang,34
29,30,Hà Tĩnh,29
30,31,Đồng Nai,28
31,32,Thái Nguyên,27
32,33,Phú Thọ,22
33,34,Bà Rịa-Vũng Tàu,18
34,35,Kiên Giang,13
35,36,Lào Cai,10
36,37,Tây Ninh,6
37,38,Bình Dương,6
38,39,An Giang,6
39,40,Long An,4
40,41,Đồng Tháp,2
41,42,Hồ Chí Minh,1
42,43,Vĩnh Phúc,1
43,44,Hậu Giang,1
