,#,Tên vườn quốc gia,Số điểm cháy
0,1,Vườn quốc gia Yok Đôn,246
1,2,Vườn quốc gia Chư Mom Ray,18
2,3,Vườn quốc gia Cát Tiên,15
3,4,Vườn quốc gia Bidoup-Núi Bà,8
4,5,Vườn quốc gia Chư Yang Sin,5
5,6,Vườn quốc gia Kon Ka Kinh,5
6,7,Vườn quốc gia Phong Nha Kẻ Bàng,4
7,8,Vườn quốc gia Tràm Chim,3
8,9,Vườn quốc gia Phước Bình,3
9,10,Vườn quốc gia Pù Mát,2
10,11,Vườn quốc gia Lò Gò Xa Mát,1
11,12,Vườn quốc gia Bến En,1
12,13,Vườn quốc gia Tam Đảo,1
13,14,Vườn quốc gia Hoàng Liên,1
