,#,Tên tỉnh,Số điểm cháy
0,1,Đắk Lắk,3937
1,2,Gia Lai,3118
2,3,Điện Biên,2981
3,4,Nghệ An,2655
4,5,Quảng Nam,2476
5,6,Sơn La,1843
6,7,Kon Tum,1673
7,8,Thanh Hoá,1545
8,9,Quảng Ngãi,1519
9,10,Lai Châu,1268
10,11,Đắk Nông,1108
11,12,An Giang,1093
12,13,Bình Thuận,1046
13,14,Quảng Ninh,974
14,15,Bình Định,958
15,16,Phú Yên,897
16,17,Đồng Nai,679
17,18,Kiên Giang,622
18,19,Long An,613
19,20,Lâm Đồng,595
20,21,Lạng Sơn,590
21,22,Quảng Bình,552
22,23,Khánh Hòa,483
23,24,Tuyên Quang,483
24,25,Bắc Giang,475
25,26,Hà Giang,445
26,27,Đồng Tháp,442
27,28,Thừa Thiên Huế,432
28,29,Hà Tĩnh,412
29,30,Quảng Trị,408
30,31,Tây Ninh,380
31,32,Bình Phước,373
32,33,Thái Nguyên,357
33,34,Bắc Kạn,343
34,35,Cao Bằng,303
35,36,Yên Bái,303
36,37,Lào Cai,299
37,38,Bình Dương,296
38,39,Bà Rịa-Vũng Tàu,295
39,40,Ninh Thuận,283
40,41,Hải Dương,264
41,42,Hồ Chí Minh,259
42,43,Hòa Bình,246
43,44,Phú Thọ,244
44,45,Bắc Ninh,211
45,46,Hà Nội,203
46,47,Cà Mau,195
47,48,Tiền Giang,166
48,49,Sóc Trăng,142
49,50,Ninh Bình,125
50,51,Hải Phòng,122
51,52,Bạc Liêu,116
52,53,Hà Nam,113
53,54,Trà Vinh,103
54,55,Vĩnh Phúc,93
55,56,Bến Tre,93
56,57,Hậu Giang,83
57,58,Đà Nẵng,69
58,59,Thái Bình,53
59,60,Cần Thơ,45
60,61,Nam Định,43
61,62,Hưng Yên,41
62,63,Vĩnh Long,24
